2024-04-21 18:03:22.169: Namespace(name='usps', cuda=True, n_z=10, alpha=0.1, beta=0.05, lr=0.001, n_clusters=10, n_input=256)				
2024-04-21 18:03:22.169: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 18:04:11.377: epoch146 Q1:	0.772	0.7651	0.6929	0.7491
2024-04-21 18:04:11.688: epoch147 Q1:	0.7733	0.7659	0.6938	0.7497
2024-04-21 18:04:12.062: epoch148 Q1:	0.7737	0.7658	0.6941	0.7502
2024-04-21 18:04:12.437: epoch149 Q1:	0.7736	0.7662	0.6942	0.7498
2024-04-21 18:04:12.749: epoch150 Q1:	0.7737	0.7659	0.6941	0.7495
2024-04-21 18:04:13.124: epoch151 Q1:	0.7739	0.7659	0.6941	0.7496
2024-04-21 18:04:13.498: epoch152 Q1:	0.775	0.7664	0.695	0.75
2024-04-21 18:04:13.876: epoch153 Q1:	0.7748	0.7662	0.6947	0.7497
2024-04-21 18:04:14.185: epoch154 Q1:	0.7749	0.766	0.6947	0.7497
2024-04-21 18:04:14.496: epoch155 Q1:	0.7746	0.7661	0.6944	0.7491
2024-04-21 18:04:14.810: epoch156 Q1:	0.7751	0.7665	0.6948	0.7492
2024-04-21 18:04:15.183: epoch157 Q1:	0.775	0.7665	0.695	0.7496
2024-04-21 18:04:15.494: epoch158 Q1:	0.7754	0.7662	0.6949	0.749
2024-04-21 18:04:15.870: epoch159 Q1:	0.7751	0.7661	0.6946	0.7491
2024-04-21 18:04:16.180: epoch160 Q1:	0.776	0.7665	0.6953	0.7493
2024-04-21 18:04:16.556: epoch161 Q1:	0.7749	0.767	0.6952	0.7492
2024-04-21 18:04:16.869: epoch162 Q1:	0.777	0.7672	0.6959	0.7487
2024-04-21 18:04:17.242: epoch163 Q1:	0.7754	0.7669	0.6951	0.7489
2024-04-21 18:04:17.556: epoch164 Q1:	0.7765	0.7679	0.6966	0.7494
2024-04-21 18:04:17.868: epoch165 Q1:	0.7765	0.7666	0.6954	0.7482
2024-04-21 18:04:18.181: epoch166 Q1:	0.7765	0.767	0.6959	0.7493
2024-04-21 18:04:18.494: epoch167 Q1:	0.7766	0.7674	0.6965	0.7493
2024-04-21 18:04:18.808: epoch168 Q1:	0.7772	0.768	0.6966	0.749
